"s","p","o"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Staat"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_volksvertegenwoordiger"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgische_adel"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Premier_van_België"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageID",171672
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageRevisionID",47036557
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Adrian_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Joseph_Van_De_Meulebroeck"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Eerste_Minister"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Minister_van_Staat_(België)"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://nl.dbpedia.org/resource/Ministerie_van_Justitie_(België)"
