"s","p","o"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","23rd Prime Minister of Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Belgian House of Representatives"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1869"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1896"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1910"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1911"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1912"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1918"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1920"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1921"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1951"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","6 mai"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Albert {{Ier}}"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Belgique"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Bruxelles"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Constitution belge"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Liège"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Léopold III"
